STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
634,内,nèi,Danh từ,NỘI,"nội, trong, bên trong, trong vòng (dùng được cho phạm vi không gian và thời gian)",Inside,内,TRUE,只要在我们商店买东西，一年内，如果发生什么问题，我们保证帮你免费修理。,"Nếu bạn mua bất kỳ sản phẩm nào từ cửa hàng của chúng tôi, chúng tôi đảm bảo sẽ sửa chữa miễn phí trong vòng một năm nếu có bất kỳ sự cố nào xảy ra."
635,修理,xiūlǐ,Động từ,TU LÍ,"sửa chữa, tu sửa",repair,修理,TRUE,只要在我们商店买东西，一年内，如果发生什么问题，我们保证帮你免费修理。,"Nếu bạn mua bất kỳ sản phẩm nào từ cửa hàng của chúng tôi, chúng tôi đảm bảo sẽ sửa chữa miễn phí trong vòng một năm nếu có bất kỳ sự cố nào xảy ra."
636,满,mǎn,Động từ,MÃN,"đủ, đầy, tròn",Full,满,TRUE,今晚是满月。瓶子里的水满了。,Đêm nay là trăng tròn (trăng rằm). Nước trong bình đầy rồi.
637,其中,qízhōng,"Đại từ, Danh từ",KỲ TRUNG,"trong đó, trong số đó",in,其中,TRUE,很多人能取得成功。他们都认为，其中，最重要的是坚持。,Nhiều người đạt được thành công. Tất cả họ đều tin rằng yếu tố quan trọng nhất là sự kiên trì.
638,会员卡,huìyuánkǎ,Danh từ,HỘI VIÊN CA,thẻ hội viên,Membership card,会员卡,TRUE,我想办个会员卡。,Tôi muốn làm thẻ thành viên.
639,获得,huòdé,Động từ,HOẠCH ĐẮC,"được, lấy được, thu được, đạt được, giành được",get,获得,TRUE,今天所有的小朋友可以获得一个小礼物。,Hôm nay tất cả các em nhỏ sẽ nhận được một món quà nhỏ.
640,取得,qǔdé,Động từ,THỦ ĐẮC,"đạt được, giành được, lấy được, thu được (kết quả, thành tích tốt)",Obtain,取得,TRUE,经过这么多困难和坚持，他终于取得成功了。,"Trải qua rất nhiều khó khăn và kiên trì, cuối cùng anh ấy đã thành công rồi."
641,各,gè,Đại từ,CÁC,"các, những, mọi, khắp, mỗi",each,各,TRUE,一到节日，商场经常会举办各种各样的活动来吸引顾客。,"Trong các dịp lễ, các trung tâm mua sắm thường tổ chức nhiều hoạt động khác nhau để thu hút khách hàng."
642,降低,jiàngdī,Động từ,GIÁNG ĐÊ,"hạ, giảm, hạ thấp",reduce,降低,TRUE,今天商场有降低价格的活动，我们来选择东西吧。,"Hôm nay trung tâm thương mại đang có chương trình giảm giá, chúng ta cùng chọn vài món đồ nhé."
643,纸箱,zhǐxiāng,Danh từ,CHỈ TƯƠNG ,"thùng giấy, hộp giấy",cardboard box,纸箱,TRUE,这个纸箱里有什么特别的东西吗？,Có thứ gì đặc biệt trong chiếc hộp giấy này à?
644,货,huò,Danh từ,HÓA,hàng hóa,goods,货,TRUE,便宜不好货，好货不便宜。所以，如果你想买好质量的东西，你要花多钱。,"Hàng giá rẻ thường có chất lượng kém, còn hàng tốt thì hiếm khi rẻ. Vậy bạn cần chi bao nhiêu tiền nếu muốn mua được hàng chất lượng cao?"
645,感人,gǎnrén,Tính từ,CẢM NHÂN,cảm động,Touching,感人,TRUE,看了看这部电影，我感到很感人。,Tôi đã rất xúc động sau khi xem bộ phim này.
646,四周,sìzhōu,Danh từ,TỨ CHU,"tứ phía, tứ bề, bốn phía",all around,四周,TRUE,在海洋上，四周都是水。,"Trên đại dương, bạn được bao quanh bởi nước."
647,食品,shípǐn,Danh từ,THỰC PHẨM,"thực phẩm, đồ ăn",food,食品,TRUE,这就是绿色食品，质量很好，也很干净，所以价格有点儿贵。,"Đây là thực phẩm hữu cơ; chất lượng rất tốt và rất sạch, vì vậy giá hơi cao."
648,许,xǔ,Phó từ,HỨA,"có lẽ, có thể",May,许,TRUE,今天许下大雨。,Dự báo hôm nay trời sẽ mưa rất to.
649,或许,huòxǔ,Phó từ,HOẶC HỨA,"có lẽ, có thể, hay là",perhaps,或许,TRUE,或许我们就不该认识了。,Có lẽ chúng ta không nên gặp nhau.
650,小朋友,xiǎopéngyǒu,Danh từ,TIỂU BẰNG HỮU,"trẻ em, bạn nhỏ",kid,小朋友,TRUE,小朋友很喜欢吃巧克力，因为他们喜欢吃甜的。,Trẻ em thích sô cô la vì chúng thích đồ ngọt.
651,教授,jiàoshòu,Danh từ,GIÁO THỤ,giáo sư,professor,教授,TRUE,这位教授很有名，也很了不起。,Vị giáo sư này rất nổi tiếng và xuất sắc.
652,小票,xiǎopiào,Danh từ,TIỂU PHIẾU,"hóa đơn, biên lai, phiếu thanh toán",Receipt,小票,TRUE,顾客朋友们，请留下你们的小票。在你们想换商品的情况下，小票很重要，否则，我们不能为您服务。,"Kính gửi quý khách hàng, vui lòng giữ lại hóa đơn. Hóa đơn rất cần thiết nếu quý khách muốn đổi trả hàng; nếu không, chúng tôi không thể phục vụ quý khách."
653,特点,tèdiǎn,Danh từ,ĐẶC ĐIỂM,đặc điểm,Features,特点,TRUE,教育学生时，要根据每个学生的特点来选择不同的方法。,"Trong quá trình giáo dục học sinh, cần lựa chọn các phương pháp khác nhau tùy thuộc vào đặc điểm của từng học sinh."
654,特色,tèsè,Danh từ,ĐẶC SẮC,"đặc sắc, đặc trưng",feature,特色,TRUE,春天来的时候，这里有什么特色的活动来我们可以参加吗？,"Khi mùa xuân đến, ở đây có những hoạt động đặc biệt nào mà chúng ta có thể tham gia không?"
655,愉快,yúkuài,Tính từ,DU KHOÁI,"vui vẻ, vui sướng, vui thích, vui mừng, hớn hở (dùng trong văn viết, không thể lặp lại như 快快乐乐）",joy,愉快,TRUE,他很愉快因为今天上午他得到老师的表扬。,Cậu bé rất vui vì sáng nay được thầy giáo khen ngợi.
656,说明,shuōmíng,"Động từ, Danh từ",THUYẾT MINH,"nói rõ, giải thích; cho thấy, nói lên rằng, chứng minh, chứng tỏ; lời mô tả, lời chú thích, hướng dẫn",illustrate,说明,TRUE,你可以说明这个地方吗？我不太清楚。,Bạn có thể giải thích rõ chỗ này không? Tôi chưa rõ lắm.
657,电影艺术节,diànyǐng yìshùjié,Danh từ,ĐIỆN ẢNH NGHỆ THUẬT TIẾT,"liên hoan phim, liên hoan nghệ thuật điện ảnh",Film Festival,电影艺术节,TRUE,今年的电影艺术节会在城市中心举行。预见会有差不多一千人来参加。,Liên hoan phim năm nay sẽ được tổ chức tại trung tâm thành phố. Dự kiến ​​sẽ có khoảng một nghìn người tham dự.
658,无法,wúfǎ,Động từ,VÔ PHÁP,"không thể, hết cách, vô phương, không có cách nào",Unable,无法,TRUE,生活中遇到什么样的事情，我们无法选择，但我们可以选择态度。,"Chúng ta không thể lựa chọn những gì xảy ra trong cuộc sống, nhưng chúng ta có thể lựa chọn thái độ của mình."
659,后悔,hòuhuǐ,Động từ,HẬU HỐI,"hối hận, ân hận, hối tiếc",regret,后悔,TRUE,如果你现在不努力，将来一定会后悔的。去医院检查吧，等你身体出现问题了，后悔就来不及了。,"Nếu bạn không nỗ lực ngay bây giờ, chắc chắn bạn sẽ hối hận trong tương lai. Hãy đi khám sức khỏe định kỳ; khi đã có vấn đề về sức khỏe thì hối tiếc cũng đã quá muộn."
660,伤心,shāngxīn,Tính từ,THƯƠNG TÂM,"đau lòng, buồn bã, thương tâm",sad,伤心,TRUE,他听到这个消息伤后心地哭了。,Anh ấy đau lòng mà khóc sau khi nghe được tin này.
661,轻松,qīngsōng,Tính từ,KHINH TÙNG,"nhẹ nhõm, ung dung, nhẹ nhàng, dễ dàng, thoái mái",easy,轻松,TRUE,我完成考试后感觉很轻松，因为我终于可以休息了。,Tôi cảm thấy nhẹ nhõm sau khi hoàn thành kỳ thi vì cuối cùng tôi cũng có thể nghỉ ngơi.
662,放松,fàngsōng,Động từ,PHÓNG TÙNG,"thư giãn, thả lỏng, relax",Relax,放松,TRUE,我想找一个安静的地方好好放松一下。,Tôi muốn tìm một nơi yên tĩnh để thư giãn.
663,积极,jījí,Tính từ,TÍCH CỰC,"tích cực, hăng hái",positive,积极,TRUE,积极的态度是生活中的成功关键。例如，幽默是一种积极的生活态度，可以拉近人与人之间的距离。,"Thái độ tích cực là chìa khóa dẫn đến thành công trong cuộc sống. Ví dụ, sự hài hước là một thái độ tích cực có thể giúp mọi người xích lại gần nhau hơn."
664,消极,xiāojí,Tính từ,TIÊU CỰC,tiêu cực,negative,消极,TRUE,环境污染给我们的生活带来很多消极的影响。,Ô nhiễm môi trường gây ra nhiều tác động tiêu cực đến cuộc sống của chúng ta.
665,植物,zhíwù,Danh từ,THỰC VẬT,"thực vật, cây, cây cối",plant,植物,TRUE,这种植物喜欢阳光，光不够很容易掉叶子。,Loại cây này ưa ánh nắng mặt trời; nó dễ dàng rụng lá nếu không có đủ ánh sáng.
666,证明,zhèngmíng,"Động từ, Danh từ",CHỨNG MINH,"(v): chứng minh, chứng tỏ; (n): chứng minh thư, giấy chứng minh, giấy phép",prove,证明,TRUE,他用行动证明了他的能力。,Anh ấy đã chứng minh khả năng của mình thông qua hành động.
667,研究,yánjiū,"Động từ, Danh từ",NGHIÊN CỨU,nghiên cứu,Research,研究,TRUE,研究发现长时间静坐会影响身体健康，因此，每过一个小时应该站起来走走。,"Các nghiên cứu đã chỉ ra rằng việc ngồi lâu có thể ảnh hưởng tiêu cực đến sức khỏe; do đó, mỗi giờ nên đứng dậy và đi lại một chút."
668,享受,xiǎngshòu,Động từ,HƯỞNG THỤ,"tận hưởng, hưởng thụ, thưởng thức (cuộc sống)",enjoy,享受,TRUE,没人能知道以后会发生什么事，因此，我想要享受现在的每个分钟。,"Không ai biết điều gì sẽ xảy ra trong tương lai, vì vậy tôi muốn tận hưởng từng phút giây của hiện tại."
669,欣赏,xīnshǎng,Động từ,HÂN THƯỞNG,"ngắm, thưởng thức, ngắm nhìn, chiêm ngưỡng (phong cảnh, cảnh đẹp)",appreciate,欣赏,TRUE,我们很喜欢去旅游，主要是因为美丽的风景，真值得欣赏。,"Chúng tôi thích đi du lịch, chủ yếu là vì phong cảnh tuyệt đẹp, thực sự đáng để chiêm ngưỡng."
670,面对,miànduì,Động từ,DIỆN ĐỐI,"đương đầu, đối mặt, đối diện (vấn đề, khó khăn, thử thách...)",face,面对,TRUE,生活的态度要自己选择，因此，遇到困难时，我们要勇敢地面对，还应该想一些办法让自己从不高兴的心情中走出来。,"Thái độ sống là sự lựa chọn của chính chúng ta. Vì vậy, khi gặp khó khăn, chúng ta nên đối mặt một cách dũng cảm và tìm cách thoát khỏi tâm trạng không vui."
671,积极参加,jījí cānjiā,Động từ,TÍCH CỰC THAM GIA,tích cực tham gia,Actively participate,积极参加,TRUE,这次招聘会提供的工作机会很多，请同学们积极参加。,"Hội chợ việc làm này mang đến nhiều cơ hội, vì vậy hãy tích cực tham gia nhé."
672,保持积极的态度,bǎochí jījí de tàidu,Động từ,BẢO TRÌ TÍCH CỰC ĐÍCH THÁI ĐỘ,giữ thái độ tích cực,Maintain a positive attitude,保持积极的态度,TRUE,我觉得保持积极的态度很重要。没错，心情好，生活就更开心。因此，遇到问题时，我会先冷静下来，想清楚怎么解决。对啊，冷静面对困难，才能找到合适的办法。,"Tôi cảm thấy giữ thái độ tích cực rất quan trọng. Đúng vậy, tâm trạng tốt thì cuộc sống càng vui vẻ hơn. Vì vậy, khi gặp vấn đề, tôi sẽ giữ bình tĩnh trước và suy nghĩ rõ cách giải quyết ra sao. Đúng vậy, bình tĩnh đối mặt với khó khăn mới có thể tìm thấy cách giải quyết phù hợp."
673,可不是,kěbushì,Phó từ,KHẢ BẤT THỊ,"đúng, đúng vậy, còn phải nói, chứ còn gì nữa (khẳng định, bày tỏ sự tán thành, đồng ý với những điều mà người khác nói)",That's right.,可不是,TRUE,我们都是三十岁了，真怀念小时候的事情。可不是，时间过得真快。,"Cả hai chúng tôi đều đã ba mươi tuổi rồi, và chúng tôi thực sự nhớ những điều từ thời thơ ấu. Đúng vậy, thời gian trôi nhanh thật."
674,往往,wǎngwǎng,Phó từ,VÃNG VÃNG,"thường thường, thường hay, thường thì (mang tính quy luật, dùng với tình huống quá khứ và hiện tại)",often,往往,TRUE,质量很好的东西往往很贵。,Hàng hóa chất lượng cao thường đắt tiền.
675,要是……（的话），（就）……,yàoshi   （ dehuà ） ， （ jiù ）  ,Cấu trúc câu,"YẾU THỊ ... ĐÍCH THOẠI, TỰU",Nếu .... thì ...,If... (then)...,要是……（的话），（就）……,TRUE,要是他不写作业的话，他妈妈会发脾气。,Mẹ cậu ấy sẽ nổi giận nếu cậu ấy không làm bài tập về nhà.
676,铁杵磨针,tiěchǔmózhēn,Thành ngữ,THIẾT XỬ MA CHÂM,"có công mài sắt, có ngày nên kim (kiên trì, quyết tâm thì ắt sẽ thành công)",Grinding an iron pestle into a needle,铁杵磨针,TRUE,遇到困难时，我们不要放弃。困难是一份生活中，它教我们积累经验，以后我们就不出错了。再说，做事时需要坚持，人们常说“铁杵磨针”，就是鼓励我们坚持下去。,"Khi gặp khó khăn, chúng ta không nên bỏ cuộc. Khó khăn là một phần của cuộc sống; chúng dạy chúng ta tích lũy kinh nghiệm để không mắc phải những sai lầm tương tự nữa. Hơn nữa, sự kiên trì là điều cần thiết khi làm việc; câu tục ngữ ""mài chày sắt thành kim"" khuyến khích chúng ta kiên trì."
677,服务态度,fúwùtàidù,Danh từ,PHỤC VỤ THÁI ĐỘ,thái độ phục vụ,Service attitude,服务态度,TRUE,在这家商店购物，我很满意。因为售货员的服务态度又礼貌又热情。,Tôi rất hài lòng với trải nghiệm mua sắm tại cửa hàng này vì nhân viên bán hàng đều lịch sự và thân thiện.
678,勇敢,yǒnggǎn,Tính từ,DŨNG CẢM,"dũng cảm, gan dạ",brave,勇敢,TRUE,勇敢地面对困难真的不容易。有些人遇到困难时就放弃了。,Thật không dễ để dũng cảm đối mặt với khó khăn. Một số người bỏ cuộc khi gặp phải chúng.
679,地球,dìqiú,Danh từ,ĐỊA CẦU,"trái đất, địa cầu",Earth,地球,TRUE,太阳每天都为地球提供大量阳光。,Mặt trời cung cấp cho Trái đất một lượng lớn ánh sáng mặt trời mỗi ngày.
680,盒子,hézi,Danh từ,HẠP TỬ,"cái hộp, hộp",Box,盒子,TRUE,请把这些东西放进盒子里。,Vui lòng đặt những vật dụng này vào trong hộp.
681,盒,hé,Lượng từ,HẠP,hộp,box,盒,TRUE,我想买四盒牛奶。,Tôi muốn mua bốn hộp sữa.
682,瓶子,píngzi,Danh từ,BÌNH TỬ,"cái lọ, bình, chai",bottle,瓶子,TRUE,瓶子里的水满了。,Nước trong bình đầy rồi.
